id,sportradar_player_id,player_name,name,position,price,salary,projected_points,avg_fppg,team,recent_team,opponent_team,opponent_display,home_away,game_time,gameday,stadium,game_id,headshot_url,jersey_number,roster_status,rank,prediction_rank,confidence
joe_flacco_CLE_2025,,Joe Flacco,Joe Flacco,QB,8300,8300,16.6,16.6,CLE,CLE,CIN,vs CIN,home,Sun 09/07 13:00,2025-09-07,FirstEnergy Stadium,2025_01_CIN_CLE,,,ACT,14,14,0
russell_wilson_NYG_2025,,Russell Wilson,Russell Wilson,QB,8200,8200,16.4,16.4,NYG,NYG,WAS,@ WAS,away,Sun 09/07 13:00,2025-09-07,FedExField,2025_01_NYG_WAS,,,ACT,15,15,0
matthew_stafford_LA_2025,,Matthew Stafford,Matthew Stafford,QB,8100,8100,16.2,16.2,LA,LA,HOU,vs HOU,home,Sun 09/07 16:25,2025-09-07,SoFi Stadium,2025_01_HOU_LA,,,ACT,16,16,0
geno_smith_LV_2025,,Geno Smith,Geno Smith,QB,8100,8100,16.2,16.2,LV,LV,NE,@ NE,away,Sun 09/07 13:00,2025-09-07,Gillette Stadium,2025_01_LV_NE,,,ACT,17,17,0
kyler_murray_ARI_2025,,Kyler Murray,Kyler Murray,QB,7900,7900,15.9,15.9,ARI,ARI,NO,@ NO,away,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Superdome,2025_01_ARI_NO,,,ACT,18,18,0
bo_nix_DEN_2025,,Bo Nix,Bo Nix,QB,7900,7900,15.8,15.8,DEN,DEN,TEN,vs TEN,home,Sun 09/07 16:05,2025-09-07,Empower Field at Mile High,2025_01_TEN_DEN,,,ACT,19,19,0
brock_purdy_SF_2025,,Brock Purdy,Brock Purdy,QB,7400,7400,14.8,14.8,SF,SF,SEA,@ SEA,away,Sun 09/07 16:05,2025-09-07,Lumen Field,2025_01_SF_SEA,,,ACT,20,20,0
jordan_love_GB_2025,,Jordan Love,Jordan Love,QB,7400,7400,14.8,14.8,GB,GB,DET,vs DET,home,Sun 09/07 16:25,2025-09-07,Lambeau Field,2025_01_DET_GB,,,ACT,21,21,0
sam_darnold_SEA_2025,,Sam Darnold,Sam Darnold,QB,7200,7200,14.4,14.4,SEA,SEA,SF,vs SF,home,Sun 09/07 16:05,2025-09-07,Lumen Field,2025_01_SF_SEA,,,ACT,22,22,0
aaron_rodgers_PIT_2025,,Aaron Rodgers,Aaron Rodgers,QB,7200,7200,14.4,14.4,PIT,PIT,NYJ,@ NYJ,away,Sun 09/07 13:00,2025-09-07,MetLife Stadium,2025_01_PIT_NYJ,,,ACT,23,23,0
trevor_lawrence_JAX_2025,,Trevor Lawrence,Trevor Lawrence,QB,7200,7200,14.3,14.3,JAX,JAX,CAR,vs CAR,home,Sun 09/07 13:00,2025-09-07,TIAA Bank Stadium,2025_01_CAR_JAX,,,ACT,24,24,0
justin_herbert_LAC_2025,,Justin Herbert,Justin Herbert,QB,7100,7100,14.2,14.2,LAC,LAC,KC,vs KC,home,Fri 09/05 20:00,2025-09-05,SoFi Stadium,2025_01_KC_LAC,,,ACT,25,25,0
caleb_williams_CHI_2025,,Caleb Williams,Caleb Williams,QB,6900,6900,13.9,13.9,CHI,CHI,MIN,vs MIN,home,Mon 09/08 20:15,2025-09-08,Soldier Field,2025_01_MIN_CHI,,,ACT,26,26,0
drake_maye_NE_2025,,Drake Maye,Drake Maye,QB,6700,6700,13.4,13.4,NE,NE,LV,vs LV,home,Sun 09/07 13:00,2025-09-07,Gillette Stadium,2025_01_LV_NE,,,ACT,27,27,0
justin_fields_NYJ_2025,,Justin Fields,Justin Fields,QB,4800,4800,9.6,9.6,NYJ,NYJ,PIT,vs PIT,home,Sun 09/07 13:00,2025-09-07,MetLife Stadium,2025_01_PIT_NYJ,,,ACT,28,28,0
j.j._mccarthy_MIN_2025,,J.J. McCarthy,J.J. McCarthy,QB,4400,4400,8.8,8.8,MIN,MIN,CHI,@ CHI,away,Mon 09/08 20:15,2025-09-08,Soldier Field,2025_01_MIN_CHI,,,ACT,29,29,0
cameron_ward_TEN_2025,,Cameron Ward,Cameron Ward,QB,4400,4400,8.8,8.8,TEN,TEN,DEN,@ DEN,away,Sun 09/07 16:05,2025-09-07,Empower Field at Mile High,2025_01_TEN_DEN,,,ACT,30,30,0
daniel_jones_IND_2025,,Daniel Jones,Daniel Jones,QB,4000,4000,2.1,2.1,IND,IND,MIA,vs MIA,home,Sun 09/07 13:00,2025-09-07,Lucas Oil Stadium,2025_01_MIA_IND,,,ACT,31,31,0
mac_jones_SF_2025,,Mac Jones,Mac Jones,QB,4000,4000,2.0,2.0,SF,SF,SEA,@ SEA,away,Sun 09/07 16:05,2025-09-07,Lumen Field,2025_01_SF_SEA,,,ACT,32,32,0
tyler_huntley_CLE_2025,,Tyler Huntley,Tyler Huntley,QB,4000,4000,2.0,2.0,CLE,CLE,CIN,vs CIN,home,Sun 09/07 13:00,2025-09-07,FirstEnergy Stadium,2025_01_CIN_CLE,,,ACT,33,33,0
easton_stick_ATL_2025,,Easton Stick,Easton Stick,QB,4000,4000,1.9,1.9,ATL,ATL,TB,vs TB,home,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Stadium,2025_01_TB_ATL,,,ACT,34,34,0
aidan_o'connell_LV_2025,,Aidan O'Connell,Aidan O'Connell,QB,4000,4000,1.9,1.9,LV,LV,NE,@ NE,away,Sun 09/07 13:00,2025-09-07,Gillette Stadium,2025_01_LV_NE,,,ACT,35,35,0
gardner_minshew_KC_2025,,Gardner Minshew,Gardner Minshew,QB,4000,4000,1.9,1.9,KC,KC,LAC,@ LAC,away,Fri 09/05 20:00,2025-09-05,SoFi Stadium,2025_01_KC_LAC,,,ACT,36,36,0
sam_howell_MIN_2025,,Sam Howell,Sam Howell,QB,4000,4000,1.9,1.9,MIN,MIN,CHI,@ CHI,away,Mon 09/08 20:15,2025-09-08,Soldier Field,2025_01_MIN_CHI,,,ACT,37,37,0
cooper_rush_BAL_2025,,Cooper Rush,Cooper Rush,QB,4000,4000,1.9,1.9,BAL,BAL,BUF,@ BUF,away,Sun 09/07 20:20,2025-09-07,New Era Field,2025_01_BAL_BUF,,,ACT,38,38,0
kirk_cousins_ATL_2025,,Kirk Cousins,Kirk Cousins,QB,4000,4000,1.8,1.8,ATL,ATL,TB,vs TB,home,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Stadium,2025_01_TB_ATL,,,ACT,39,39,0
andy_dalton_CAR_2025,,Andy Dalton,Andy Dalton,QB,4000,4000,1.8,1.8,CAR,CAR,JAX,@ JAX,away,Sun 09/07 13:00,2025-09-07,TIAA Bank Stadium,2025_01_CAR_JAX,,,ACT,40,40,0
jameis_winston_NYG_2025,,Jameis Winston,Jameis Winston,QB,4000,4000,1.8,1.8,NYG,NYG,WAS,@ WAS,away,Sun 09/07 13:00,2025-09-07,FedExField,2025_01_NYG_WAS,,,ACT,41,41,0
bailey_zappe_KC_2025,,Bailey Zappe,Bailey Zappe,QB,4000,4000,1.8,1.8,KC,KC,LAC,@ LAC,away,Fri 09/05 20:00,2025-09-05,SoFi Stadium,2025_01_KC_LAC,,,ACT,42,42,0
trevor_siemian_TEN_2025,,Trevor Siemian,Trevor Siemian,QB,4000,4000,1.7,1.7,TEN,TEN,DEN,@ DEN,away,Sun 09/07 16:05,2025-09-07,Empower Field at Mile High,2025_01_TEN_DEN,,,ACT,43,43,0
drew_lock_SEA_2025,,Drew Lock,Drew Lock,QB,4000,4000,1.7,1.7,SEA,SEA,SF,vs SF,home,Sun 09/07 16:05,2025-09-07,Lumen Field,2025_01_SF_SEA,,,ACT,44,44,0
tommy_devito_NYG_2025,,Tommy DeVito,Tommy DeVito,QB,4000,4000,1.7,1.7,NYG,NYG,WAS,@ WAS,away,Sun 09/07 13:00,2025-09-07,FedExField,2025_01_NYG_WAS,,,ACT,45,45,0
mason_rudolph_PIT_2025,,Mason Rudolph,Mason Rudolph,QB,4000,4000,1.7,1.7,PIT,PIT,NYJ,@ NYJ,away,Sun 09/07 13:00,2025-09-07,MetLife Stadium,2025_01_PIT_NYJ,,,ACT,46,46,0
spencer_rattler_NO_2025,,Spencer Rattler,Spencer Rattler,QB,4000,4000,1.7,1.7,NO,NO,ARI,vs ARI,home,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Superdome,2025_01_ARI_NO,,,ACT,47,47,0
