nfl_player_id,nfl_player_name,nfl_display_name,nfl_position,nfl_position_group,sportradar_player_id,sportradar_name,sportradar_display_name,sportradar_first_name,sportradar_last_name,sportradar_position,sportradar_jersey,sportradar_height,sportradar_weight,sportradar_birth_date,sportradar_experience,sportradar_college,sportradar_team_alias,sportradar_status,match_type,match_score
00-0029604,K.Cousins,Kirk Cousins,QB,QB,bbd0942c-6f77-4f83-a6d0-66ec6548019e,Kirk Cousins,,Kirk,Cousins,QB,18.0,75,205.0,1988-08-19,14,Michigan State,ATL,ACT,exact_name_position,1.0
00-0029692,B.Anger,Bryan Anger,P,SPEC,6ee71282-c2b8-416a-8de1-29c0185d9b7b,Bryan Anger,,Bryan,Anger,P,5.0,75,202.0,1988-10-06,14,California,DAL,ACT,exact_name_position,1.0
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,67da5b5c-0db9-4fbc-b98d-7eb8e97b69f6,Kyle Juszczyk,,Kyle,Juszczyk,FB,44.0,73,235.0,1991-04-23,13,Harvard,SF,ACT,exact_name_position,1.0
00-0030035,A.Thielen,Adam Thielen,WR,WR,2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4,Adam Thielen,,Adam,Thielen,WR,19.0,74,195.0,1990-08-22,12,Minnesota State,CAR,ACT,exact_name_position,1.0
00-0030061,Z.Ertz,Zach Ertz,TE,TE,de3421f7-2147-4835-89a5-724e87bad463,Zach Ertz,,Zach,Ertz,TE,86.0,77,250.0,1990-11-10,13,Stanford,WAS,ACT,exact_name_position,1.0
00-0030092,S.Martin,Sam Martin,P,SPEC,80b403da-381f-467e-883b-5b83ac02aac3,Sam Martin,,Sam,Martin,P,6.0,73,205.0,1990-02-27,13,Appalachian State,CAR,ACT,exact_name_position,1.0
00-0030097,D.Quessenberry,David Quessenberry,T,OL,496680c4-2432-481b-883c-6f311da3a4a3,David Quessenberry,,David,Quessenberry,OL,68.0,77,306.0,1990-08-24,8,San Jose State,LA,ACT,fuzzy_name_position,1.0
00-0030140,T.Way,Tress Way,P,SPEC,55e1ecbd-96c5-456e-833b-9cd3f046f3fc,Tress Way,,Tress,Way,P,10.0,73,220.0,1990-04-18,12,Oklahoma,WAS,ACT,exact_name_position,1.0
00-0030279,K.Allen,Keenan Allen,WR,WR,5f424505-f29f-433c-b3f2-1a143a04a010,Keenan Allen,,Keenan,Allen,WR,13.0,74,211.0,1992-04-27,12,California,LAC,ACT,exact_name_position,1.0
00-0030431,R.Woods,Robert Woods,WR,WR,618bedee-9259-4536-b0ff-fec98d2a20de,Robert Woods,,Robert,Woods,WR,16.0,72,190.0,1992-04-10,13,USC,PIT,ACT,exact_name_position,1.0
00-0030506,T.Kelce,Travis Kelce,TE,TE,c3859e06-5f23-4302-a71b-04820a899d5f,Travis Kelce,,Travis,Kelce,TE,87.0,77,250.0,1989-10-05,13,Cincinnati,KC,ACT,exact_name_position,1.0
00-0030561,L.Johnson,Lane Johnson,T,OL,3edf64e6-603b-4437-a3be-53fe030c6f56,Lane Johnson,,Lane,Johnson,T,65.0,78,325.0,1990-05-08,13,Oklahoma,PHI,ACT,exact_name_position,1.0
00-0030564,D.Hopkins,DeAndre Hopkins,WR,WR,5c48ade7-4b9a-4757-9643-87a6e3839e2b,DeAndre Hopkins,,DeAndre,Hopkins,WR,10.0,73,210.0,1992-06-06,13,Clemson,BAL,ACT,exact_name_position,1.0
