Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107566-53095,QB,Kyle,Kyle Allen,Allen,-0.1857142789023263,7,6000,DAL@PIT,PIT,DAL,,,,,,QB
107566-88937,QB,Carter,Carter Bradley,Bradley,,0,6000,LV@DEN,LV,DEN,,,,,,QB
107566-93103,QB,E.J.,E.J. Perry,Perry,,0,6000,IND@JAC,JAC,IND,,,,,,QB
107566-69597,QB,Anthony,Anthony Brown Jr.,Brown Jr.,,0,6000,BUF@HOU,BUF,HOU,,,,,,QB
107566-56286,QB,Trace,Trace McSorley,McSorley,,0,6000,CLE@WAS,WAS,CLE,,,,,,QB
107566-92133,QB,Jason,Jason Bean,Bean,,0,6000,IND@JAC,IND,JAC,O,Foot,,,,QB
107566-63469,QB,Ben,Ben DiNucci,DiNucci,,0,6000,BUF@HOU,BUF,HOU,,,,,,QB
107566-61593,WR,Jauan,Jauan Jennings,Jennings,16.975000381469727,4,5900,ARI@SF,SF,ARI,,,,,,WR/FLEX
107566-52436,TE,Mark,Mark Andrews,Andrews,2.375,4,5900,BAL@CIN,BAL,CIN,,,,,,TE/FLEX
107566-94534,WR,Gabe,Gabe Davis,Davis,4.150000095367432,4,5900,IND@JAC,JAC,IND,Q,Shoulder,,,,WR/FLEX
107566-93541,RB,Javonte,Javonte Williams,Williams,6.224999904632568,4,5900,LV@DEN,DEN,LV,,,,,,RB/FLEX
107566-90561,WR,Jerry,Jerry Jeudy,Jeudy,9.175000190734863,4,5900,CLE@WAS,CLE,WAS,,,,,,WR/FLEX
107566-86646,RB,Trey,Trey Sermon,Sermon,3.2000001271565757,3,5900,IND@JAC,IND,JAC,,,,,,RB/FLEX
107566-71521,RB,Justice,Justice Hill,Hill,9.425000190734863,4,5900,BAL@CIN,BAL,CIN,,,,,,RB/FLEX
107566-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,8.100000381469727,4,5900,GB@LAR,GB,LAR,,,,,,WR/FLEX
107566-72776,RB,Alexander,Alexander Mattison,Mattison,9.550000190734863,4,5800,LV@DEN,LV,DEN,,,,,,RB/FLEX
107566-63634,WR,Jakobi,Jakobi Meyers,Meyers,9.475000381469727,4,5800,LV@DEN,LV,DEN,,,,,,WR/FLEX
107566-103619,WR,Tre,Tre Tucker,Tucker,9.375,4,5800,LV@DEN,LV,DEN,,,,,,WR/FLEX
107566-29253,WR,Keenan,Keenan Allen,Allen,4.150000095367432,2,5800,CAR@CHI,CHI,CAR,,,,,,WR/FLEX
107566-128693,RB,Tank,Tank Bigsby,Bigsby,5.733333587646484,3,5800,IND@JAC,JAC,IND,Q,Shoulder,,,,RB/FLEX
107566-103187,RB,Roschon,Roschon Johnson,Johnson,8.399999618530273,2,5800,CAR@CHI,CHI,CAR,,,,,,RB/FLEX
107566-41872,TE,Evan,Evan Engram,Engram,1,1,5800,IND@JAC,JAC,IND,Q,Hamstring,,,,TE/FLEX
107566-57403,WR,Courtland,Courtland Sutton,Sutton,8.175000190734863,4,5700,LV@DEN,DEN,LV,,,,,,WR/FLEX
107566-28744,RB,Raheem,Raheem Mostert,Mostert,2.9000000953674316,1,5700,MIA@NE,MIA,NE,Q,Chest,,,,RB/FLEX
107566-94370,WR,Romeo,Romeo Doubs,Doubs,5.724999904632568,4,5700,GB@LAR,GB,LAR,Q,Personal,,,,WR/FLEX
107566-87260,TE,Isaiah,Isaiah Likely,Likely,8.050000190734863,4,5700,BAL@CIN,BAL,CIN,,,,,,TE/FLEX
107566-103694,RB,Ray,Ray Davis,Davis,4.099999904632568,4,5700,BUF@HOU,BUF,HOU,,,,,,RB/FLEX
107566-120033,WR,Rome,Rome Odunze,Odunze,7.699999809265137,4,5600,CAR@CHI,CHI,CAR,,,,,,WR/FLEX
107566-92976,WR,Tutu,Tutu Atwell,Atwell,9.266666412353516,3,5600,GB@LAR,LAR,GB,,,,,,WR/FLEX
107566-85845,WR,Rashod,Rashod Bateman,Bateman,6.224999904632568,4,5600,BAL@CIN,BAL,CIN,,,,,,WR/FLEX
107566-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,5.175000190734863,4,5600,DAL@PIT,DAL,PIT,Q,Undisclosed,,,,RB/FLEX
107566-55335,TE,David,David Njoku,Njoku,6.400000095367432,1,5500,CLE@WAS,CLE,WAS,Q,Ankle,,,,TE/FLEX
107566-185593,WR,Andrei,Andrei Iosivas,Iosivas,8.725000381469727,4,5500,BAL@CIN,CIN,BAL,,,,,,WR/FLEX
107566-56648,RB,Jeremy,Jeremy McNichols,McNichols,10,2,5500,CLE@WAS,WAS,CLE,,,,,,RB/FLEX
107566-38264,WR,Demarcus,Demarcus Robinson,Robinson,5.150000095367432,4,5500,GB@LAR,LAR,GB,Q,Hip,,,,WR/FLEX
107566-91578,RB,Zamir,Zamir White,White,3.825000047683716,4,5500,LV@DEN,LV,DEN,Q,Groin,,,,RB/FLEX
107566-169776,WR,Christian,Christian Watson,Watson,5.5,3,5500,GB@LAR,GB,LAR,D,Ankle,,,,WR/FLEX
107566-86312,WR,Alec,Alec Pierce,Pierce,10.850000381469727,4,5400,IND@JAC,IND,JAC,,,,,,WR/FLEX
107566-52613,WR,Curtis,Curtis Samuel,Samuel,2.375,4,5400,BUF@HOU,BUF,HOU,,,,,,WR/FLEX
107566-55042,TE,Dalton,Dalton Schultz,Schultz,3.299999952316284,4,5400,BUF@HOU,HOU,BUF,,,,,,TE/FLEX
107566-157467,WR,Keon,Keon Coleman,Coleman,5.650000095367432,4,5400,BUF@HOU,BUF,HOU,,,,,,WR/FLEX
107566-103195,WR,Jordan,Jordan Whittington,Whittington,4.175000190734863,4,5400,GB@LAR,LAR,GB,,,,,,WR/FLEX
107566-90933,RB,Antonio,Antonio Gibson,Gibson,6.800000190734863,4,5400,MIA@NE,NE,MIA,,,,,,RB/FLEX
107566-86055,RB,Dameon,Dameon Pierce,Pierce,1.600000023841858,1,5300,BUF@HOU,HOU,BUF,Q,Hamstring,,,,RB/FLEX
107566-71845,RB,Miles,Miles Sanders,Sanders,5.574999809265137,4,5300,CAR@CHI,CAR,CHI,Q,Illness,,,,RB/FLEX
107566-160303,TE,Tucker,Tucker Kraft,Kraft,6.25,4,5300,GB@LAR,GB,LAR,,,,,,TE/FLEX
107566-112192,WR,Jonathan,Jonathan Mingo,Mingo,2.825000047683716,4,5300,CAR@CHI,CAR,CHI,,,,,,WR/FLEX
107566-25267,WR,Mack,Mack Hollins,Hollins,3.1500000953674316,4,5300,BUF@HOU,BUF,HOU,,,,,,WR/FLEX
107566-29501,WR,Brandin,Brandin Cooks,Cooks,4.949999809265137,4,5300,DAL@PIT,DAL,PIT,O,Knee,,,,WR/FLEX
107566-56265,TE,Mike,Mike Gesicki,Gesicki,5.550000190734863,4,5300,BAL@CIN,CIN,BAL,,,,,,TE/FLEX
107566-86244,TE,Pat,Pat Freiermuth,Freiermuth,7.525000095367432,4,5200,DAL@PIT,PIT,DAL,,,,,,TE/FLEX
107566-112057,RB,Jaylen,Jaylen Warren,Warren,3.566666603088379,3,5200,DAL@PIT,PIT,DAL,Q,Knee,,,,RB/FLEX
107566-185861,RB,Emanuel,Emanuel Wilson,Wilson,6.224999904632568,4,5200,GB@LAR,GB,LAR,,,,,,RB/FLEX
107566-89612,WR,Michael,Michael Wilson,Wilson,6.199999809265137,4,5200,ARI@SF,ARI,SF,,,,,,WR/FLEX
107566-63050,RB,Ty,Ty Johnson,Johnson,5.699999809265137,4,5200,BUF@HOU,BUF,HOU,,,,,,RB/FLEX
107566-40845,TE,Hunter,Hunter Henry,Henry,6.199999809265137,4,5200,MIA@NE,NE,MIA,,,,,,TE/FLEX
107566-91047,TE,Cole,Cole Kmet,Kmet,7.800000190734863,4,5200,CAR@CHI,CHI,CAR,,,,,,TE/FLEX
